State,Duration of account,Area code,Global plan,Voice mail plan,Number of voice mail messages,Total minutes during the day,Total calls during the day,Total charge during the day,Total minutes during the evening,Total calls during the evening,Total charge during the evening,Total minutes during the night,Total calls during the night,Total charge during the night,Total international minutes,Total international calls,Total international charge,Calls to customer service,Churn
NM,06,489,No,Yes,78,882.0,868,79.95,835.4,884,86.01,782.9,13,0.23,0.1,6,7.34,8,False
CO,858,584,No,Yes,67,851.3,08,74.73,868.8,02,88.85,780.5,857,0.12,89.8,8,7.26,8,False
UT,842,591,No,No,9,770.1,09,60.92,852.0,878,87.42,758.5,891,89.13,0.3,2,7.40,6,False
MI,879,591,No,No,9,834.9,899,71.94,682.7,16,73.03,880.7,13,4.63,1.6,1,7.75,8,False
MA,896,584,No,No,9,814.9,882,68.54,776.6,05,81.01,777.1,08,89.96,87.3,7,6.5,7,False
AL,01,591,No,No,9,838.9,882,72.62,809.0,886,83.76,772.2,886,89.74,87.8,5,6.72,5,False
DE,874,591,No,No,9,873.2,891,78.45,793.9,09,82.48,752.1,885,88.84,86.6,2,6.40,8,False
AZ,36,584,No,No,9,41.0,874,89.98,830.3,40,85.57,788.5,11,0.48,0.5,6,7.45,8,False
ME,63,489,Yes,Yes,57,803.1,10,66.53,745.0,877,78.32,861.6,873,3.77,79.9,3,4.5,9,True
NJ,35,489,No,No,9,837.3,16,72.35,847.6,890,87.04,42.4,877,7.40,85.7,6,6.16,8,False
NV,25,584,No,No,9,717.4,885,51.96,780.0,51,81.30,829.9,884,2.34,0.5,5,7.45,8,True
MO,887,489,No,Yes,63,886.2,882,80.66,842.4,17,86.60,822.3,881,2.00,89.9,6,7.2,7,False
ID,02,591,No,No,9,760.1,874,59.22,785.1,888,81.73,856.6,18,3.54,1.2,4,7.64,7,False
NE,53,591,No,No,9,789.7,07,64.26,772.6,22,80.67,799.8,883,0.9,86.8,2,6.45,8,False
TX,58,591,No,Yes,77,786.1,897,63.64,858.1,13,87.94,857.7,876,3.5,2.7,6,8.05,9,False
MD,878,489,No,No,9,809.2,896,67.57,816.4,882,84.3,779.1,896,0.05,0.1,5,7.34,6,False
MS,806,584,No,No,9,829.0,875,70.94,867.6,04,88.74,887.0,10,4.91,88.3,6,6.86,8,False
NV,869,489,No,No,9,845.7,880,73.78,889.7,01,0.62,772.5,882,89.76,0.7,4,7.51,7,False
AZ,14,591,No,No,9,798.5,47,65.75,770.5,895,80.4,747.4,893,88.63,87.9,6,6.75,8,False
MS,837,584,No,No,9,29.2,891,87.97,842.4,12,86.60,845.1,17,3.02,0.8,6,7.53,5,True
MS,38,489,No,Yes,72,812.4,875,68.11,853.3,896,87.53,774.2,870,89.83,3.5,3,8.26,5,True
TX,07,591,No,No,9,08.2,09,84.40,806.2,876,83.53,824.9,13,2.11,0.7,5,7.51,7,False
NE,868,591,No,Yes,63,785.7,884,63.58,838.2,882,86.25,735.2,897,88.08,0.4,5,7.42,6,False
NE,09,584,No,No,9,854.4,07,75.25,782.2,885,81.4,853.0,876,3.38,89.0,7,7.05,6,False
CA,24,591,No,No,9,833.6,874,71.72,841.7,13,86.54,743.2,19,88.44,3.8,4,8.34,8,False
NJ,21,584,No,No,9,768.9,884,60.72,769.5,859,80.41,738.5,879,88.23,0.4,6,7.42,8,False
TX,17,591,No,No,9,799.6,03,65.94,798.7,897,82.8,793.8,39,0.72,2.8,8,8.07,5,False
AR,836,591,No,No,9,802.9,890,66.50,797.3,871,82.77,793.5,19,0.70,0.8,89,7.53,8,False
AL,08,489,Yes,No,9,870.0,887,77.91,826.6,16,85.26,752.7,869,88.87,88.7,6,6.97,6,False
NY,24,584,No,Yes,78,824.1,02,70.10,782.4,893,81.50,762.4,865,89.30,4.6,5,8.56,4,False
FL,08,489,No,No,9,796.8,893,65.46,789.8,886,82.13,804.3,870,1.1,87.9,6,6.75,6,False
AK,872,489,No,Yes,63,816.7,882,68.85,873.1,23,89.21,736.6,28,88.14,88.7,1,6.97,8,False
NV,886,584,No,Yes,76,794.9,898,65.14,847.9,39,87.07,841.3,40,2.85,89.7,4,7.24,7,False
DE,889,489,No,No,9,851.4,884,74.74,723.5,15,76.50,806.3,887,1.28,87.5,6,6.64,8,False
MD,879,584,No,Yes,60,799.6,31,65.94,779.5,02,81.26,746.1,883,88.57,89.4,5,7.15,9,False
MI,842,584,No,Yes,71,807.3,892,67.25,804.4,25,83.37,890.2,860,5.05,3.1,4,8.15,6,False
VT,896,489,No,No,9,753.4,52,58.08,804.4,15,83.37,799.4,03,0.97,88.2,5,6.83,8,False
VT,882,591,Yes,No,9,832.8,13,71.58,822.4,12,84.90,750.5,867,88.77,85.8,2,6.18,7,True
MI,859,584,No,No,9,768.0,898,60.57,839.8,05,86.38,889.5,01,5.02,85.6,3,6.13,6,False
WA,872,591,No,No,9,853.2,08,75.05,796.4,21,82.6,796.5,889,0.84,86.2,6,6.2,8,False
UT,16,591,Yes,No,9,728.4,12,53.83,783.6,873,81.60,878.8,894,4.54,88.2,5,6.83,8,False
LA,878,591,No,No,9,818.4,878,69.13,781.5,01,81.43,838.3,896,2.72,1.4,4,7.6,8,False
RI,854,591,No,Yes,56,742.2,02,56.18,837.8,04,86.21,713.0,13,87.08,88.8,5,6.9,7,False
IA,886,591,No,No,9,806.1,00,67.04,778.5,874,81.17,827.6,32,2.24,89.3,3,7.13,8,False
NE,882,584,No,No,9,897.1,880,82.51,793.2,08,82.42,700.9,894,86.53,89.8,2,7.26,8,False
OH,34,591,No,No,9,812.0,883,68.05,842.3,882,86.5,772.6,13,89.76,2.4,3,7.96,8,False
RI,43,584,No,No,9,773.9,887,61.57,751.4,881,78.87,859.4,857,3.67,3.0,88,8.13,8,False
OK,03,584,No,No,9,739.5,884,55.72,853.9,53,87.58,730.4,12,87.86,88.4,5,6.88,4,False
LA,848,591,No,No,9,821.2,883,69.61,707.8,861,75.16,734.0,898,88.02,0.1,5,7.34,9,False
OH,16,584,No,No,9,662.5,879,42.63,772.5,883,80.66,846.0,885,3.06,84.1,2,5.72,9,True
VA,860,489,No,Yes,76,842.3,870,73.20,752.9,03,78.9,740.7,887,88.33,86.2,7,6.2,9,False
MO,3,489,No,No,9,816.3,882,68.78,743.2,27,78.17,821.3,20,1.95,89.7,7,7.24,8,False
FL,884,489,No,Yes,75,857.8,875,75.83,816.5,870,84.40,835.1,885,2.57,0.3,5,7.40,8,False
SC,12,584,No,No,9,863.6,02,76.82,827.7,891,85.35,862.4,898,3.80,2.8,4,8.07,9,False
VA,858,584,No,No,9,782.8,889,63.08,758.4,888,79.46,746.4,896,88.58,87.9,3,6.75,9,False
IA,858,489,No,Yes,63,812.4,00,68.11,758.5,883,79.47,770.4,894,89.66,89.4,4,7.15,6,False
MI,37,584,No,No,9,01.0,896,83.18,864.5,877,88.48,763.3,17,89.34,87.7,8,6.70,8,False
OK,853,584,No,No,9,793.6,848,64.92,851.3,10,87.36,832.7,08,2.47,3.8,6,8.34,8,False
DE,07,584,No,Yes,66,756.8,07,58.66,786.1,07,81.82,771.2,895,89.70,87.8,7,6.72,7,False
GA,814,489,No,Yes,68,810.1,873,67.72,836.6,866,86.11,735.1,873,88.07,2.4,6,7.96,8,False
DC,851,584,No,No,9,797.9,897,65.65,756.7,871,79.32,738.6,09,88.23,89.0,6,7.05,8,False
AZ,05,591,No,Yes,61,829.8,875,71.07,806.6,883,83.56,894.0,26,5.22,87.1,5,6.53,8,False
AL,67,489,No,No,9,769.0,12,60.74,812.5,09,84.06,845.9,46,3.06,3.6,7,8.2,9,False
CO,31,591,No,No,9,762.8,894,59.68,776.4,894,80.9,02.5,20,5.61,86.7,7,6.43,8,False
NH,35,591,No,Yes,72,817.8,08,69.03,830.2,01,85.57,835.2,13,2.58,89.3,4,7.13,7,False
NM,74,584,No,No,9,880.6,12,79.71,788.4,898,82.01,731.0,13,87.8,89.4,5,7.15,6,False
OR,34,584,No,No,9,883.1,12,80.13,821.0,06,84.78,817.5,849,1.78,85.8,7,6.18,8,False
LA,820,591,No,No,9,780.7,07,62.73,850.5,874,87.2,755.2,895,88.98,3.8,4,8.34,9,False
NE,05,584,No,No,9,747.3,895,57.05,830.9,874,85.62,829.0,893,2.30,88.8,2,6.9,7,False
MN,37,584,No,No,9,852.8,08,74.98,809.5,892,83.81,804.7,884,1.21,87.7,6,6.70,9,False
MI,872,584,No,No,9,797.8,896,65.63,770.5,13,80.4,804.7,886,1.21,88.4,6,6.88,7,False
AR,883,591,No,No,9,826.4,06,70.4,805.8,23,83.4,791.9,887,0.63,83.7,89,5.62,6,False
KS,29,591,No,No,9,767.8,877,60.53,707.6,887,75.14,798.7,887,0.94,9.9,9,9.9,6,False
WV,05,489,Yes,Yes,76,802.8,874,66.48,785.4,863,81.76,717.7,896,87.2,0.4,4,7.42,5,False
AK,873,584,No,No,9,41.7,05,0.10,861.2,881,88.20,863.1,08,3.83,88.0,8,6.78,4,True
NY,32,591,No,Yes,63,884.3,888,80.34,762.2,05,79.7,830.0,896,2.34,0.0,87,7.32,7,False
NH,80,591,No,No,9,813.8,01,68.35,745.6,42,78.37,785.9,872,0.36,85.3,2,6.05,7,False
VA,829,489,Yes,No,9,740.0,31,55.81,754.9,877,79.16,865.5,878,3.94,1.5,6,7.72,6,False
NM,26,584,No,No,9,785.6,854,63.56,731.4,864,77.17,758.7,07,89.14,89.1,86,7.07,8,False
NY,893,591,No,No,9,841.2,25,73.01,35.6,860,4.52,801.4,896,1.06,89.7,5,7.24,8,False
AZ,06,584,No,No,9,728.3,28,53.82,770.5,891,80.4,22.6,878,6.51,89.0,6,7.05,7,False
WY,835,489,No,No,9,839.3,888,72.6,836.7,873,86.12,812.8,887,1.57,0.9,6,7.56,8,False
WA,48,591,No,No,9,767.5,890,60.48,812.5,04,84.06,768.7,892,89.5,0.8,6,7.53,8,False
CO,892,584,No,No,9,866.1,14,77.24,819.4,05,84.65,887.7,884,4.94,1.0,5,7.5,9,False
TX,869,584,No,No,9,823.0,890,69.92,09.2,895,2.28,761.9,30,89.28,0.4,7,7.42,8,False
KY,19,591,No,No,9,790.0,25,64.31,804.8,22,83.41,791.7,880,0.62,1.1,5,7.61,7,False
MT,05,584,No,No,9,862.4,881,76.61,796.7,11,82.72,849.9,868,3.24,86.5,7,6.37,9,False
OK,881,591,No,Yes,76,710.4,47,50.77,833.3,888,85.83,880.8,11,4.63,0.4,5,7.42,8,False
MD,882,584,No,Yes,76,801.8,13,66.31,822.9,13,84.94,819.4,07,1.87,3.1,3,8.15,8,False
TN,21,584,No,No,9,850.2,880,74.54,817.7,884,84.50,738.4,873,88.22,0.2,1,7.37,9,False
TX,791,489,No,No,9,673.4,32,44.48,823.6,886,85.00,818.2,897,1.81,89.2,3,7.10,7,True
ME,868,489,Yes,Yes,73,707.0,898,50.20,800.2,02,83.02,744.6,872,88.50,86.1,2,6.26,5,True
DC,36,591,No,No,9,16.9,35,85.88,822.9,893,84.94,754.2,10,88.93,86.9,6,6.48,9,False
MN,46,584,No,Yes,75,854.2,853,75.22,779.4,863,81.25,750.0,03,88.74,86.8,4,6.45,6,False
DE,37,591,No,No,9,817.6,898,69.00,671.7,06,72.0,754.9,868,88.96,88.7,8,6.97,7,False
MD,02,584,No,No,9,781.9,13,62.93,815.9,05,84.35,759.4,889,89.17,3.5,1,8.26,6,False
MI,894,489,No,No,9,859.3,890,76.0,821.3,48,84.81,782.9,16,0.23,3.1,6,8.15,7,False
WA,842,584,No,No,9,847.2,894,74.03,742.4,19,78.10,801.8,06,1.08,0.5,5,7.45,8,False
MO,33,584,No,Yes,63,893.2,23,81.85,790.1,22,82.16,809.5,882,1.42,87.8,7,6.72,8,False
IN,877,584,No,No,9,756.1,01,58.54,16.0,27,2.86,820.1,15,1.90,86.2,1,6.2,7,False
OR,61,584,No,No,9,805.5,05,66.94,813.2,04,84.12,776.6,09,89.94,89.1,4,7.07,6,False
MD,893,489,No,No,9,786.0,04,63.63,848.0,29,87.08,739.8,875,88.2,87.7,4,6.70,6,False
RI,00,489,No,No,9,782.7,887,63.07,753.2,10,79.02,773.8,10,89.82,84.1,2,5.72,6,False
LA,00,584,No,No,9,758.8,27,59.00,844.3,01,86.76,811.7,890,1.52,88.3,89,6.86,8,False
AZ,855,489,Yes,No,9,796.4,899,65.3,752.3,896,78.94,805.6,05,1.25,88.0,88,6.78,9,False
PA,17,584,No,Yes,75,844.7,868,73.61,755.4,893,79.21,877.5,31,4.48,89.2,6,7.10,8,False
AZ,13,591,No,Yes,68,832.3,860,71.50,886.9,881,0.38,753.0,878,88.88,87.7,3,6.70,8,False
FL,29,489,Yes,No,9,773.2,01,61.45,771.8,884,80.60,26.7,06,6.70,82.3,5,5.24,7,True
LA,06,584,No,No,9,820.6,06,69.51,821.3,01,84.81,774.7,868,89.86,88.4,3,6.88,6,False
FL,06,584,No,No,9,848.5,10,74.25,813.5,23,84.15,827.4,879,2.23,89.0,6,7.05,9,False
FL,879,584,No,No,9,819.9,19,69.3,775.7,17,80.93,734.5,08,88.05,5.2,2,8.72,6,False
MD,863,584,No,No,9,749.7,878,57.46,732.8,881,77.2,848.9,885,3.1,86.9,7,6.48,8,True
AL,893,584,No,No,9,776.9,878,62.08,889.8,01,0.63,811.2,892,1.50,2.8,87,8.07,9,False
WA,18,584,No,No,9,816.3,883,68.78,847.3,01,87.02,787.7,00,0.44,87.7,3,6.70,6,False
TN,872,591,No,Yes,77,833.9,885,71.77,825.4,896,85.16,755.0,31,88.97,89.7,3,7.24,8,False
MS,34,584,No,No,9,863.8,887,76.85,727.0,03,76.7,779.7,895,0.08,5.5,7,8.80,8,False
ME,64,591,No,No,9,850.6,886,74.61,757.7,877,79.40,825.6,895,2.15,1.0,3,7.5,7,False
OK,11,591,No,No,9,34.5,02,88.87,831.7,23,85.6,763.9,886,89.37,86.1,8,6.26,7,False
IN,34,584,No,No,9,786.5,888,63.71,765.4,05,80.06,749.8,876,88.74,7.2,5,9.26,8,False
MO,876,584,No,No,9,793.0,14,64.82,755.2,21,79.1,778.4,863,0.02,2.2,7,7.91,6,False
IA,873,591,No,Yes,72,813.7,21,68.34,810.3,16,83.87,23.4,860,6.55,0.3,6,7.40,7,False
VA,895,584,No,Yes,76,719.7,863,52.36,779.4,07,81.25,863.0,897,3.83,86.6,6,6.40,5,False
KY,54,584,No,Yes,77,803.3,15,66.57,686.7,07,73.37,836.6,891,2.64,88.0,6,6.78,9,False
MD,06,591,Yes,No,9,687.9,890,46.95,870.5,899,88.9,782.3,25,0.20,89.4,7,7.15,9,True
OH,36,584,Yes,Yes,63,800.9,889,66.16,708.6,888,75.23,802.3,07,1.10,88.9,3,7.02,8,False
OK,899,584,No,No,9,796.8,03,65.46,782.9,873,81.54,819.0,877,1.85,86.4,7,6.34,6,False
NV,46,584,No,No,9,831.1,02,71.2,779.6,12,81.26,845.6,886,3.05,89.0,7,7.05,9,False
ID,07,584,Yes,No,9,826.8,859,70.56,759.6,894,79.56,766.7,882,89.50,0.9,4,7.56,8,False
MN,860,489,No,No,9,865.5,893,77.14,788.6,01,82.03,806.3,874,1.28,89.7,7,7.24,4,True
SD,889,591,No,Yes,59,797.3,896,65.55,881.1,871,89.8,765.0,01,89.42,0.9,0,7.56,7,False
